Index,Name,Type,Group,X,Y,Width,Height,Points,Color,Fill,LWidth,Pos,C,Z,T
0,0181-0466,Rectangle,none,313,143,306,77,4,none,none,0,0,0,0,0
1,0104-0559,Rectangle,none,527,88,65,33,4,none,none,0,0,0,0,0
2,0134-0423,Rectangle,none,396,120,55,28,4,none,none,0,0,0,0,0
3,0110-0908,Rectangle,none,871,85,74,50,4,none,none,0,0,0,0,0
4,0183-1032,Rectangle,none,969,159,127,49,4,none,none,0,0,0,0,0
5,0058-0925,Rectangle,none,899,45,53,27,4,none,none,0,0,0,0,0
6,0434-0664,Rectangle,none,500,407,328,54,4,none,none,0,0,0,0,0
7,0481-0625,Rectangle,none,448,447,355,68,4,none,none,0,0,0,0,0
8,0550-0585,Rectangle,none,380,517,411,67,4,none,none,0,0,0,0,0
9,0629-0537,Rectangle,none,307,579,461,101,4,none,none,0,0,0,0,0
10,0851-0383,Rectangle,none,105,773,556,156,4,none,none,0,0,0,0,0
